Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Create AWS Architecture Part1,Amazon Virtual Private Cloud (VPC),0,705.9,8470.80,USD,"Working days per month (22), DT Inbound: Internet (5 TB per month), DT Outbound: Amazon CloudFront (5 TB per month), DT Intra-Region: (5 TB per month), Number of Site-to-Site VPN Connections (1), Number of subnet associations (4), Data transfer cost (102.4)"
My Estimate,US East (N. Virginia),,S3 Standard,0,136.98,1643.76,USD,S3 Standard storage (5 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (5 TB per month), DT Outbound: Amazon CloudFront (5 TB per month)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,1989.2,23870.40,USD,"Operating system (Linux), Quantity (10), Pricing strategy (On-Demand Instances  ), Storage amount (500 GB), Instance type (a1.2xlarge)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,149.65,1795.80,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,5578.7,66944.40,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (5 TB per month), Nodes (3), Instance Type (db.m1.large), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (10 TB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
